City_ID,City,Latitude,Longitude,Maximum Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Country,Date
0,onguday,50.75,86.15,4.49,56,99,1.51,RU,1714347183
1,road town,18.4167,-64.6167,26.05,83,40,6.17,VG,1714347024
2,hermanus,-34.4187,19.2345,15.94,76,0,0.38,ZA,1714347185
3,porsgrunn,59.1405,9.6561,7.45,97,100,3.06,NO,1714347186
4,avarua,-21.2078,-159.775,28.03,57,40,4.63,CK,1714347187
5,happy valley-goose bay,53.3168,-60.3315,14.17,19,75,4.12,CA,1714347188
6,invercargill,-46.4,168.35,11.12,96,9,1.34,NZ,1714347189
7,al kharj,24.155,47.3346,24.32,46,59,2.71,SA,1714347192
8,puerto ayora,-0.7393,-90.3518,26.97,92,78,2.68,EC,1714347192
9,mata-utu,-13.2816,-176.1745,29.54,77,9,6.35,WF,1714347194
10,jamui,24.9167,86.2167,27.98,38,46,1.81,IN,1714347195
11,nadi,-17.8,177.4167,31.0,66,40,4.12,FJ,1714347196
12,hawaiian paradise park,19.5933,-154.9731,26.73,80,40,5.66,US,1714347197
13,filingue,14.3521,3.3168,34.33,26,100,3.48,NE,1714347198
14,puerto natales,-51.7236,-72.4875,0.78,92,45,1.94,CL,1714347091
15,yellowknife,62.456,-114.3525,3.56,48,75,6.17,CA,1714347200
16,laurentides,46.4334,-74.9826,7.35,75,100,4.7,CA,1714347201
17,arkhangel'sk,64.5401,40.5433,2.29,80,40,6.0,RU,1714347202
18,turabah,21.2141,41.6331,22.62,41,0,2.25,SA,1714347203
19,papatowai,-46.5619,169.4708,14.82,63,6,2.86,NZ,1714347204
20,kushnarenkovo,55.105,55.3508,11.17,79,98,5.47,RU,1714347205
21,waitangi,-43.9535,-176.5597,13.79,82,67,1.34,NZ,1714347206
22,lazaro cardenas,17.9583,-102.2,27.54,64,72,3.75,MX,1714346949
23,kodiak,57.79,-152.4072,15.73,31,0,5.66,US,1714347208
24,grytviken,-54.2811,-36.5092,1.91,97,86,1.35,GS,1714347209
25,edinburgh of the seven seas,-37.0676,-12.3116,13.97,68,69,9.07,SH,1714347210
26,cherryville,53.1569,-6.9667,8.3,90,89,3.22,IE,1714347211
27,lamu,-2.2717,40.902,27.16,79,100,7.66,KE,1714347212
28,bardai,11.65,7.2333,30.26,12,96,3.92,NG,1714347213
29,bilibino,68.0546,166.4372,-2.44,73,17,1.21,RU,1714347214
30,lihue,21.9789,-159.3672,26.58,73,0,3.6,US,1714347216
31,la rinconada,37.4873,-5.9826,15.59,60,0,2.57,ES,1714347217
32,albany,42.6001,-73.9662,18.84,91,99,0.45,US,1714347010
33,howrah,22.5892,88.3103,32.0,58,20,2.57,IN,1714347218
34,swan hill,-35.3378,143.5544,16.86,29,92,2.07,AU,1714346931
35,nefta,33.8731,7.8777,18.14,71,27,8.88,TN,1714347221
36,quibdo,5.6947,-76.6611,26.19,94,40,2.57,CO,1714347222
37,kristiansund,63.1115,7.732,10.36,57,75,4.12,NO,1714347223
38,port-aux-francais,-49.35,70.2167,4.41,75,83,15.34,TF,1714347224
39,isafjordur,66.0755,-23.124,1.56,87,88,2.18,IS,1714347225
40,la passe,45.5549,-0.8967,9.13,87,35,1.86,FR,1714347226
41,olonkinbyen,70.9221,-8.7187,-0.27,87,100,3.1,SJ,1714347227
42,paracuru,-3.41,-39.0306,28.95,87,39,0.65,BR,1714347228
43,carnarvon,-24.8667,113.6333,24.08,72,100,1.73,AU,1714347229
44,conde,-7.2597,-34.9075,25.7,94,100,2.06,BR,1714347230
45,richards bay,-28.783,32.0377,17.7,82,5,4.07,ZA,1714347231
46,codrington,-38.2667,141.9667,13.78,64,83,5.44,AU,1714347232
47,blackmans bay,-43.0167,147.3167,13.18,60,59,0.89,AU,1714347233
48,tangalle,6.024,80.7911,25.96,92,97,1.88,LK,1714347234
49,sinabang,2.4803,96.3801,27.25,86,100,0.52,ID,1714347235
50,ventspils,57.3894,21.5606,11.96,66,0,3.09,LV,1714347236
51,petropavlovsk-kamchatsky,53.0452,158.6483,2.47,99,75,1.0,RU,1714347237
52,bredasdorp,-34.5322,20.0403,14.82,93,1,1.27,ZA,1714347238
53,port elizabeth,-33.918,25.5701,22.28,79,20,3.6,ZA,1714347239
54,prado,-17.3411,-39.2208,25.52,87,1,2.61,BR,1714347240
55,tual,-5.6667,132.75,28.75,77,100,6.62,ID,1714346947
56,port macquarie,-31.4333,152.9167,21.61,62,7,3.19,AU,1714347243
57,iskateley,67.6803,53.1512,-15.5,100,100,2.36,RU,1714347244
58,adamstown,-25.066,-130.1015,23.51,72,0,3.46,PN,1714347245
59,tomatlan,19.9333,-105.25,29.31,29,60,4.32,MX,1714347246
60,jamestown,42.097,-79.2353,20.8,83,40,4.63,US,1714347083
61,villa gesell,-37.2639,-56.973,9.47,69,85,5.63,AR,1714347119
62,chonchi,-42.6128,-73.8092,10.07,92,100,3.55,CL,1714347249
63,margaret river,-33.95,115.0667,11.0,72,42,5.4,AU,1714347250
64,enoch,37.7733,-113.0244,17.49,33,0,2.57,US,1714347239
65,malabar,-33.9667,151.25,21.18,69,0,4.12,AU,1714347252
66,dem'yanovo,60.3511,47.0842,1.6,87,80,0.28,RU,1714347253
67,champerico,14.3,-91.9167,34.3,65,4,4.71,GT,1714347254
68,cockburn town,21.4612,-71.1419,24.67,67,77,9.49,TC,1714347255
69,kuqa,41.7278,82.9364,13.34,19,100,1.66,CN,1714347256
70,raduzhny,62.0961,77.475,-11.02,87,99,7.49,RU,1714347257
71,kupang,-10.1667,123.5833,29.32,79,20,4.63,ID,1714347258
72,hola,51.5377,23.1902,10.1,65,87,3.73,PL,1714347259
73,patur,20.45,76.9333,31.8,39,12,0.59,IN,1714347261
74,iqaluit,63.7506,-68.5145,-9.15,62,75,5.66,CA,1714346967
75,jaisalmer,26.9147,70.9181,26.33,20,18,4.45,IN,1714347263
76,prince rupert,54.3161,-130.3201,5.83,85,100,10.29,CA,1714347264
77,vikravandi,12.0333,79.55,25.71,96,25,2.35,IN,1714347265
78,ried im innkreis,48.2112,13.4886,13.49,75,100,1.34,AT,1714347266
79,tidjikja,18.5564,-11.4271,25.83,46,34,5.02,MR,1714347267
80,saint-joseph,-21.3667,55.6167,23.21,85,93,5.41,RE,1714347268
81,maykop,44.6078,40.1058,16.96,96,66,2.33,RU,1714347269
82,bethel,41.3712,-73.414,22.05,61,100,2.57,US,1714347270
83,tuxpan,19.55,-103.4,27.53,54,65,4.08,MX,1714347271
84,west island,-12.1568,96.8225,27.99,89,40,8.75,CC,1714347272
85,gudari,19.35,83.7833,28.06,63,1,1.09,IN,1714347273
86,stanley,54.868,-1.6985,5.16,86,0,3.6,GB,1714347274
87,turi,40.9173,17.0212,15.02,78,0,1.03,IT,1714347275
88,naama,33.2667,-0.3167,8.63,70,65,8.45,DZ,1714347276
89,klyuchi,52.2667,79.1667,13.03,42,100,8.39,RU,1714347277
90,tiksi,71.6872,128.8694,-13.99,87,49,1.7,RU,1714347278
91,nemuro,43.3236,145.575,7.84,61,40,4.4,JP,1714347279
92,monte patria,-30.6919,-70.9467,18.77,35,100,2.13,CL,1714347201
93,jala,21.0833,-104.4333,28.88,12,47,3.81,MX,1714347281
94,santa luzia,-19.7697,-43.8514,26.5,64,0,1.54,BR,1714347284
95,vorgashor,67.5833,63.95,-19.42,99,97,3.45,RU,1714347285
96,nova sintra,14.8667,-24.7167,23.79,78,6,3.42,CV,1714347286
97,nuuk,64.1835,-51.7216,1.34,69,100,13.38,GL,1714347287
98,ilulissat,69.2167,-51.1,7.01,53,1,5.14,GL,1714347288
99,salalah,17.0151,54.0924,28.05,74,20,1.03,OM,1714347289
100,kourou,5.1552,-52.6478,25.03,86,100,2.99,GF,1714347290
101,senanga,-16.1167,23.2667,15.06,56,0,2.32,ZM,1714347291
102,yuzhno-kurilsk,44.0306,145.8556,5.21,82,15,4.67,RU,1714347293
103,vilyuysk,63.7553,121.6247,-9.44,90,100,0.45,RU,1714347294
104,velingara,13.15,-14.1167,32.86,38,27,3.18,SN,1714347295
105,mount isa,-20.7333,139.5,24.87,57,39,3.6,AU,1714347297
106,ust-nera,64.5667,143.2,-5.11,90,100,3.36,RU,1714347298
107,weno,7.4515,151.8468,25.97,94,100,3.09,FM,1714347299
108,verdal,63.7933,11.4817,9.02,91,90,2.86,NO,1714347300
109,imbituba,-28.24,-48.6703,17.89,87,100,1.3,BR,1714347302
110,ribeira grande,38.5167,-28.7,13.76,80,47,3.13,PT,1714347303
111,breclav,48.759,16.882,15.47,70,97,5.14,CZ,1714347304
112,santo antonio do ica,-3.1022,-67.9397,24.14,97,99,0.55,BR,1714347305
113,remire-montjoly,4.9167,-52.2667,25.02,100,75,0.0,GF,1714347306
114,cambria,35.5641,-121.0808,26.8,83,8,4.02,US,1714347307
115,haiku-pauwela,20.9219,-156.3051,28.01,70,20,8.23,US,1714347199
116,ulladulla,-35.35,150.4667,22.3,46,63,2.01,AU,1714347309
117,lesnoy,57.6198,63.0784,5.21,81,100,2.82,RU,1714347310
118,flying fish cove,-10.4217,105.6791,27.82,94,100,5.14,CX,1714347312
119,qamdo,31.1667,97.2333,2.58,67,43,1.54,CN,1714347314
120,aksu,41.1231,80.2644,14.18,40,100,3.82,CN,1714347315
121,ushuaia,-54.8,-68.3,2.81,81,100,3.09,AR,1714347254
122,sona,45.4388,10.8255,12.75,87,0,2.06,IT,1714347318
123,urengoy,65.9667,78.3667,-7.26,92,100,11.96,RU,1714347319
124,liliani,32.2065,72.9537,18.27,72,28,5.2,PK,1714347320
125,utrik,11.2278,169.8474,27.48,77,91,7.75,MH,1714347321
126,fortuna,40.5982,-124.1573,15.75,72,0,7.2,US,1714347322
127,nar'yan-mar,67.6713,53.087,-15.1,100,98,2.5,RU,1714347323
128,baruun-urt,46.6806,113.2792,6.66,25,87,2.3,MN,1714347324
129,spittal an der drau,46.8,13.5,12.28,97,100,2.21,AT,1714347325
130,la tuque,47.4334,-72.7824,9.14,71,100,6.69,CA,1714347326
131,forster,-32.1667,152.5167,21.88,73,3,2.14,AU,1714347327
132,anadyr,64.75,177.4833,-2.72,92,100,2.0,RU,1714347328
133,harstad,68.799,16.5293,3.66,71,1,7.6,NO,1714347329
134,falam,22.9167,93.6833,20.65,55,53,1.68,MM,1714347330
135,bay roberts,47.5999,-53.2648,3.52,97,100,3.58,CA,1714347331
136,kichmengskiy gorodok,59.9816,45.7854,3.3,83,91,1.79,RU,1714347332
137,tazovsky,67.4667,78.7,-9.69,92,100,11.47,RU,1714347217
138,ofunato,39.0717,141.7167,14.42,70,86,2.58,JP,1714347334
139,posto fiscal rolim de moura,-13.0833,-62.2667,27.22,79,100,0.66,BR,1714347335
140,thompson,55.7435,-97.8558,9.09,25,75,3.6,CA,1714347338
141,el abiodh sidi cheikh,32.893,0.5484,11.19,63,9,11.26,DZ,1714347339
142,whitehorse,60.7161,-135.0538,13.43,28,75,3.09,CA,1714347340
143,porbandar,21.6422,69.6093,26.29,74,22,4.19,IN,1714347341
144,constantia,44.1833,28.65,12.61,70,100,5.4,RO,1714347082
